,dataset,max_time_mins,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,1489,5,0.13183133391852792,0.02231268679789756,0.036167017122258935,0.03125946109597336,0.02219644238205723,0.03571428571428571,0.024702866464693544,0.03692147685907436
RandomForestClassifier,1489,5,0.056243701030592674,0.0789961867463671,0.11775307900270351,0.13359067514380865,0.15668986852281516,0.1397858897858898,0.17047308319738988,0.17750043335066737
MinMaxScaler,1489,5,0.010533502389544524,0.014170874987117386,0.014298588164613999,0.025280048440811383,0.015545243619489559,0.028606528606528608,0.014798415287811699,0.020454151499393308
XGBClassifier,1489,5,0.031015312591436653,0.0641554158507678,0.05461099429258035,0.0765213442325159,0.05259087393658159,0.12767637767637768,0.07154509438359356,0.09637718842087017
KNeighborsClassifier,1489,5,0.0173607724568419,0.058693187673915286,0.0649444277560829,0.048213745080230096,0.04524361948955916,0.048613548613548614,0.06327196457702167,0.059282371294851796
LinearSVC,1489,5,0.013101856367242109,0.03509223951355251,0.032622409131871435,0.01589464123524069,0.014462490332559938,0.016848016848016848,0.024120251689582848,0.01750736696134512
SelectFwe,1489,5,0.009558178094216326,0.015510666804081212,0.009011715229798739,0.006887677868604299,0.013611755607115236,0.01632151632151632,0.011419249592169658,0.013867221355520888
GradientBoostingClassifier,1489,5,0.09086771351474365,0.15046892713593735,0.07804145389005708,0.06796851347260066,0.13418406805877803,0.09283959283959284,0.10731764157539035,0.08008320332813312
FastICA,1489,5,0.008712897038265223,0.007214263629805215,0.00943226194052268,0.008552830759915229,0.00897138437741686,0.007107757107757108,0.01083663481705896,0.009880395215808632
MLPClassifier,1489,5,0.022562502031925617,0.10440070081418118,0.14815259837789127,0.14834998486224643,0.07888631090487239,0.052737802737802736,0.0689815893731065,0.056508927023747615
PolynomialFeatures,1489,5,0.008647875418576676,0.021745851798412864,0.01628116551516972,0.02490160460187708,0.029311678267594742,0.02764127764127764,0.020857608948962946,0.0218408736349454
RobustScaler,1489,5,0.012191553691602458,0.012315778625167475,0.02300991288675278,0.019149258250075688,0.02327919566898685,0.016584766584766583,0.017711489163365183,0.013000520020800831
DecisionTreeClassifier,1489,5,0.11352774797620209,0.04179119859837164,0.027756082907780113,0.039585225552528004,0.027610208816705336,0.02729027729027729,0.044278722908412955,0.04177500433350667
BernoulliNB,1489,5,0.11710393705907214,0.038544779964959294,0.0421748272754581,0.050181653042688464,0.05235885537509667,0.060547560547560546,0.044861337683523655,0.054775524354307506
LogisticRegression,1489,5,0.006177053870411912,0.007832629083788518,0.009131871432862721,0.007341810475325462,0.009126063418406806,0.00702000702000702,0.02155674667909578,0.007106950944704455
ExtraTreesClassifier,1489,5,0.029097174810624533,0.08023291765433371,0.07653950135175729,0.09824402058734484,0.09481825212683681,0.07722007722007722,0.06536937776742018,0.08060322412896516
ZeroCount,1489,5,0.016840599499333527,0.015356075440585386,0.021447882246921,0.011580381471389645,0.01817478731631864,0.02571077571077571,0.01654625961314379,0.024094297105217544
SGDClassifier,1489,5,0.04821353099905719,0.0296815417911986,0.03208170621808351,0.026188313654253708,0.03194122196442382,0.033081783081783084,0.042297832673036585,0.03466805338880222
RFE,1489,5,0.02292012094021262,0.012728022261156343,0.008230699909882847,0.010899182561307902,0.007811291569992266,0.00974025974025974,0.011652295502213935,0.010400416016640665
PCA,1489,5,0.009298091615462141,0.007884159538287128,0.013817963352358065,0.013321223130487435,0.012529002320185615,0.007985257985257985,0.010254020041948263,0.011613797885248743
Nystroem,1489,5,0.03946812315094769,0.006132124085334432,0.0063082006608591165,0.005752346351801393,0.0060324825986078886,0.0076342576342576345,0.006292239571195526,0.004333506673600277
MaxAbsScaler,1489,5,0.01443479957085731,0.015665258167577037,0.014478822469209974,0.012488646684831971,0.025444702242846094,0.020007020007020006,0.023188068049405732,0.0124804992199688
FeatureAgglomeration,1489,5,0.008257745700445398,0.005307636813356694,0.006007810153199159,0.004995458673932788,0.005104408352668214,0.006142506142506142,0.00559310184106269,0.003986826139712255
OneHotEncoder,1489,5,0.015312591436652687,0.02293105225188086,0.03346350255331931,0.023841961852861037,0.027532869296210363,0.019656019656019656,0.026683756700069915,0.0218408736349454
RBFSampler,1489,5,0.00877791865795377,0.013191796351643822,0.012916791829378192,0.013775355737208598,0.007579273008507347,0.012109512109512109,0.01118620368212538,0.01612064482579303
Binarizer,1489,5,0.053902922721805004,0.027517262702257034,0.006368278762391108,0.009839539812291857,0.009358081979891724,0.01053001053001053,0.009671405266837567,0.009187034148032588
VarianceThreshold,1489,5,0.013524496895217659,0.01999381634546017,0.022228897566836887,0.008023009385407205,0.012529002320185615,0.016584766584766583,0.009787928221859706,0.01594730455884902
StandardScaler,1489,5,0.014402288761013037,0.01906626816448521,0.014178431961550015,0.02089009990917348,0.0168600154679041,0.016233766233766232,0.01782801211838732,0.016293985092737044
Normalizer,1489,5,0.015377613056341234,0.018602494073997732,0.010994292580354462,0.013851044504995459,0.01740139211136891,0.008336258336258336,0.010137497086926125,0.012307158953024788
SelectPercentile,1489,5,0.01251666179004519,0.01597444089456869,0.011895464103334334,0.009158340902210111,0.010131477184841454,0.012021762021762021,0.009671405266837567,0.00953371468192061
CombineDFs,1489,5,0.023245229038655352,0.012676491806657735,0.018023430459597478,0.009234029669996972,0.008507347254447023,0.008336258336258336,0.004660918200885575,0.004853527474432311
SelectFromModel,1489,5,0.0030235053155174096,0.003194888178913738,0.007389606488434965,0.0032546170148349987,0.0038669760247486465,0.0028957528957528956,0.0013982754602656724,0.003813485872768244
MultinomialNB,1489,5,0.0019506485906563933,0.0006183654539833041,0.00024031240612796637,0.0009839539812291857,0.0003093580819798917,0.00043875043875043877,0.0010487065951992542,0.0010400416016640667
total_operators,1489,5,30759.0,19406.0,16645.0,13212.0,12930.0,11396.0,8582.0,5769.0
total_pipelines,1489,5,13737.0,8776.0,7560.0,6108.0,6031.0,5511.0,4276.0,3095.0
