,dataset,max_time_mins,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,23517,5,0.0376382508082355,0.04796049516336332,0.09595532238957523,0.08426351499233968,0.08438726559092892,0.06956521739130435,0.07744009351256576,0.055984555984555984,0.057180851063829786
RandomForestClassifier,23517,5,0.052441721966989964,0.062301292024622874,0.06549331528177356,0.05099584154081856,0.03990405582206716,0.05032938076416337,0.05143191116306254,0.046975546975546977,0.05186170212765957
MinMaxScaler,23517,5,0.026101752594861322,0.02556991138469864,0.017261804027754273,0.022762092361567083,0.01831661578717837,0.022134387351778657,0.014903565166569257,0.014800514800514801,0.012632978723404254
XGBClassifier,23517,5,0.05448358005785264,0.04593113711695867,0.07869351836182095,0.09104836944626833,0.09332751853467074,0.10540184453227931,0.08007013442431327,0.07915057915057915,0.08710106382978723
MultinomialNB,23517,5,0.03546026884464863,0.03429615098423865,0.06295481468945677,0.06390895163055373,0.07588312254688181,0.05507246376811594,0.06399766218585623,0.052123552123552123,0.0678191489361702
KNeighborsClassifier,23517,5,0.017083546026884465,0.05966312656429683,0.050600778473514976,0.07988618953819217,0.046445704317488005,0.04242424242424243,0.04149620105201637,0.04086229086229086,0.057180851063829786
ExtraTreesClassifier,23517,5,0.032635698485621915,0.0568896705675438,0.07886275173464208,0.0912672357189757,0.07064980375054514,0.10487483530961791,0.09614260666277032,0.14575289575289574,0.08776595744680851
BernoulliNB,23517,5,0.05261187680789518,0.03761076912669959,0.050600778473514976,0.050558108995403805,0.061927605756650676,0.0466403162055336,0.06750438340151958,0.06885456885456885,0.09242021276595745
SGDClassifier,23517,5,0.05305427939424877,0.04099303253737401,0.055170079539685224,0.04289778945064566,0.05211513301351941,0.05823451910408432,0.05143191116306254,0.06113256113256113,0.0851063829787234
MLPClassifier,23517,5,0.022698655776756848,0.052222147060813094,0.03587747503807751,0.04530531845042679,0.03794156127344091,0.039525691699604744,0.05669199298655757,0.04504504504504504,0.057180851063829786
OneHotEncoder,23517,5,0.01881912540411775,0.01718189812622607,0.017938737519038756,0.02604508645217772,0.02136938508504143,0.020289855072463767,0.01782583284628872,0.016087516087516088,0.018617021276595744
DecisionTreeClassifier,23517,5,0.2572060575123362,0.04261651897449773,0.033338974445760707,0.04464871963230466,0.04491931966855647,0.0455862977602108,0.05201636469900643,0.06016731016731017,0.0598404255319149
RFE,23517,5,0.039952356644546536,0.013867279983765135,0.020138771365713317,0.021667760998030205,0.015481901439162669,0.014492753623188406,0.013150204558737581,0.009652509652509652,0.013297872340425532
GradientBoostingClassifier,23517,5,0.06197039305768249,0.09247108164783874,0.05195464545608394,0.039177062814620266,0.061927605756650676,0.052964426877470355,0.06545879602571596,0.05019305019305019,0.043882978723404256
LogisticRegression,23517,5,0.006227667177131189,0.04410471487519448,0.03435437468268743,0.012913110089735173,0.01264718709114697,0.018972332015810278,0.022793687901811806,0.02702702702702703,0.016622340425531915
Normalizer,23517,5,0.009630763995235665,0.008455658526686059,0.014892536808258588,0.010067848544539286,0.013737461840383776,0.014229249011857707,0.010520163646990065,0.017696267696267698,0.011303191489361703
SelectPercentile,23517,5,0.016436957631444614,0.015355475884461883,0.01607717041800643,0.021230028452615454,0.01853467073702573,0.019235836627140974,0.01636469900642899,0.021557271557271558,0.013297872340425532
RBFSampler,23517,5,0.01310192274970223,0.010890888182371643,0.009984768996446099,0.008754650908295032,0.016136066288704752,0.009486166007905139,0.014611338398597311,0.014157014157014158,0.013962765957446808
MaxAbsScaler,23517,5,0.01296579887697805,0.010079144963809782,0.011338635979015061,0.024075289997811337,0.01569995638901003,0.015810276679841896,0.011104617182933957,0.01447876447876448,0.011968085106382979
FastICA,23517,5,0.0071465033180193975,0.03815193127240749,0.010830935860551701,0.014664040271394178,0.017880505887483647,0.02345191040843215,0.012273524254821741,0.011904761904761904,0.011968085106382979
ZeroCount,23517,5,0.014599285349668197,0.02550226611648515,0.018784904383144355,0.010505581089954037,0.015481901439162669,0.017918313570487482,0.012857977790765635,0.013835263835263836,0.012632978723404254
Binarizer,23517,5,0.02579547388123192,0.01197321247378746,0.009477068877982739,0.01247537754432042,0.01003052769297863,0.01080368906455863,0.015780245470485097,0.01447876447876448,0.00997340425531915
Nystroem,23517,5,0.01432703760421984,0.02651694513968748,0.013030969707226265,0.014882906544101553,0.01264718709114697,0.011594202898550725,0.013442431326709527,0.019948519948519948,0.01795212765957447
RobustScaler,23517,5,0.01425897566785775,0.022322938510451192,0.019461837874428838,0.008098052090172904,0.010902747492368076,0.010013175230566536,0.0058445353594389245,0.008687258687258687,0.008643617021276596
PolynomialFeatures,23517,5,0.017491917645057004,0.024014070215788406,0.012354036215941784,0.019479098270956445,0.013737461840383776,0.011857707509881422,0.013442431326709527,0.012226512226512226,0.010638297872340425
LinearSVC,23517,5,0.013272077590607452,0.05526618413042008,0.05449314604840075,0.04486758590501204,0.06105538595726123,0.048748353096179184,0.059322033898305086,0.0324967824967825,0.031914893617021274
StandardScaler,23517,5,0.0210651693040667,0.012040857742000947,0.01607717041800643,0.012037644998905668,0.013955516790231139,0.017391304347826087,0.014903565166569257,0.01705276705276705,0.008643617021276596
SelectFwe,23517,5,0.0021439509954058193,0.0015558411689102346,0.001523100355390083,0.0002188662727073758,0.00021805494984736154,,0.0002922267679719462,0.00032175032175032174,
FeatureAgglomeration,23517,5,0.007282627190743577,0.009335047013461408,0.0071078016584870535,0.0041584591814401405,0.008068033144352376,0.006851119894598155,0.006428988895382817,0.006435006435006435,0.008643617021276596
CombineDFs,23517,5,0.016709205376892973,0.02340526280186701,0.006938568285665934,0.004815057999562267,0.00436109899694723,0.005006587615283268,0.004383401519579193,0.0019305019305019305,0.0019946808510638296
PCA,23517,5,0.007350689127105666,0.01806128661300142,0.013030969707226265,0.013788575180564675,0.013737461840383776,0.011330698287220026,0.008766803039158387,0.009652509652509652,0.007978723404255319
SelectFromModel,23517,5,0.001905734218138506,0.0022999391192586077,0.0006769334912844813,0.0008754650908295032,0.0004361098996947231,0.0015810276679841897,0.002630040911747516,0.0022522522522522522,
VarianceThreshold,23517,5,0.01613067891781521,0.011093823987012108,0.014723303435437467,0.007660319544758153,0.016136066288704752,0.01818181818181818,0.004675628287551139,0.007078507078507079,0.00997340425531915
total_operators,23517,5,29385.0,14783.0,5909.0,4569.0,4586.0,3795.0,3422.0,3108.0,1504.0
