,dataset,max_time_mins,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,40668,5,0.05954974582425563,0.02467134882045741,0.03304484657749803,0.030414746543778803,0.031560989479670176,0.03308270676691729,0.051586125111176995,0.054835793913829464,0.07348837209302325
RandomForestClassifier,40668,5,0.04066811909949165,0.04583108229785701,0.05684500393391031,0.08525345622119816,0.09610463463178845,0.06917293233082707,0.09783575452119775,0.10274178969569148,0.06604651162790698
MinMaxScaler,40668,5,0.025804889857177438,0.022600396182243833,0.022816679779701022,0.017741935483870968,0.02786465737844754,0.015639097744360904,0.02016009487103469,0.020186803253992167,0.013023255813953489
XGBClassifier,40668,5,0.0718954248366013,0.23455789663245094,0.17446892210857592,0.14608294930875576,0.1171452942849019,0.11428571428571428,0.09012748295286095,0.05453449834287436,0.07674418604651163
MultinomialNB,40668,5,0.0719438392641007,0.033405366468575545,0.036585365853658534,0.04262672811059908,0.038100653966448676,0.043308270676691726,0.06255558849688704,0.051822838204278396,0.05813953488372093
KNeighborsClassifier,40668,5,0.054127329944323406,0.023680893210877005,0.03894571203776554,0.0347926267281106,0.044924651691782766,0.061654135338345864,0.0524755410613697,0.04157878879180476,0.03953488372093023
ExtraTreesClassifier,40668,5,0.03708545146453643,0.06897172699441743,0.08418568056648308,0.10253456221198157,0.12738129087290304,0.10285714285714286,0.11503112955825674,0.12021693281108768,0.06976744186046512
BernoulliNB,40668,5,0.05562817719680465,0.02025931928687196,0.04051927616050354,0.037096774193548385,0.05146431617856127,0.05263157894736842,0.048917877260598874,0.04971376920759265,0.062325581395348835
SGDClassifier,40668,5,0.07881868796901477,0.03475598775436701,0.04130605822187254,0.03917050691244239,0.0508956497014501,0.056842105263157895,0.04980729321079158,0.06297077432961735,0.07813953488372093
RobustScaler,40668,5,0.012781408859840233,0.01242571582928147,0.017505900865460267,0.01728110599078341,0.012226329257890247,0.015639097744360904,0.019863622887637118,0.01566736968966556,0.013023255813953489
MLPClassifier,40668,5,0.041442749939481965,0.051053484602917344,0.09343036978756884,0.06797235023041474,0.06738697753767416,0.06285714285714286,0.05277201304476727,0.0433865622175354,0.07302325581395348
GradientBoostingClassifier,40668,5,0.05683853788428952,0.1302899333693499,0.07317073170731707,0.09308755760368663,0.0841626386124538,0.07067669172932331,0.06848502816483842,0.06086170533293161,0.061395348837209304
RBFSampler,40668,5,0.008859840232389253,0.006302899333693499,0.007474429583005508,0.0066820276497695855,0.0068239977253340914,0.012030075187969926,0.010376519418914912,0.010244049412473637,0.009302325581395349
RFE,40668,5,0.024739772452190754,0.013866378534125697,0.020849724626278522,0.013594470046082949,0.014216661927779357,0.015037593984962405,0.009190631485324638,0.008134980415787888,0.01441860465116279
FastICA,40668,5,0.014330670539820867,0.0066630650099045565,0.010818253343823761,0.00783410138248848,0.015638328120557293,0.006015037593984963,0.009190631485324638,0.014763482976800241,0.013953488372093023
StandardScaler,40668,5,0.00944081336238199,0.01539708265802269,0.011801730920535013,0.00967741935483871,0.006255331248222917,0.01263157894736842,0.010376519418914912,0.01084664055438385,0.011627906976744186
ZeroCount,40668,5,0.020721374969740983,0.019899153610660903,0.024390243902439025,0.012672811059907835,0.012510662496445835,0.009323308270676692,0.01749184702045657,0.015968665260620667,0.011162790697674419
FeatureAgglomeration,40668,5,0.006584362139917695,0.005222402305060328,0.004917387883556255,0.005529953917050691,0.005117998294000569,0.005413533834586466,0.006522383634746516,0.0021090689966857487,0.012093023255813953
LogisticRegression,40668,5,0.01839748244977003,0.007293354943273906,0.011801730920535013,0.01543778801843318,0.009098663633778788,0.011729323308270676,0.004743551734361103,0.013558300692979813,0.01813953488372093
DecisionTreeClassifier,40668,5,0.08942144759138224,0.07068251395641996,0.06038552321007081,0.06566820276497695,0.055444981518339494,0.06827067669172933,0.06136970056329677,0.08315757758360952,0.07813953488372093
MaxAbsScaler,40668,5,0.019317356572258533,0.0176481181343418,0.012785208497246263,0.011059907834101382,0.011373329542223486,0.017142857142857144,0.01897420693744441,0.012654413980114493,0.008372093023255815
OneHotEncoder,40668,5,0.012781408859840233,0.01476679272465334,0.016522423288749016,0.019815668202764977,0.013079328973557009,0.022255639097744362,0.011562407352505188,0.01777643868635131,0.013488372093023256
LinearSVC,40668,5,0.049140643911885745,0.016747703943814155,0.026160503540519277,0.035023041474654376,0.022462325845891383,0.029473684210526315,0.03083308627334717,0.0346489906598373,0.03302325581395349
VarianceThreshold,40668,5,0.012103606874848705,0.026832342877723753,0.010424862313139261,0.014285714285714285,0.008245663918112028,0.012330827067669173,0.010080047435517344,0.025007532389273876,0.017674418604651163
PCA,40668,5,0.019414185427257324,0.0074734377813794346,0.00983477576711251,0.00967741935483871,0.011657662780779073,0.013533834586466165,0.008894159501927068,0.010244049412473637,0.017209302325581394
Binarizer,40668,5,0.008278867102396514,0.007293354943273906,0.007081038552321007,0.0069124423963133645,0.006255331248222917,0.010827067669172932,0.008597687518529499,0.00692979813196746,0.005581395348837209
Normalizer,40668,5,0.020818203824739773,0.015577165496128219,0.015538945712037766,0.014055299539170507,0.011657662780779073,0.01443609022556391,0.011265935369107619,0.018379029828261523,0.01581395348837209
SelectPercentile,40668,5,0.018349068022270636,0.010714928867278949,0.010424862313139261,0.008755760368663594,0.012510662496445835,0.0069172932330827065,0.013341239252890602,0.011449231696294065,0.010697674418604652
PolynomialFeatures,40668,5,0.017622851609779715,0.018008283810552854,0.010228166797797011,0.017511520737327188,0.014216661927779357,0.009022556390977444,0.010969463385710051,0.009340162699608317,0.011162790697674419
CombineDFs,40668,5,0.01355603969983055,0.007293354943273906,0.0023603461841070024,0.00391705069124424,0.003696332101222633,0.005413533834586466,0.0023717758671805513,0.0015064778547755348,0.002325581395348837
Nystroem,40668,5,0.007213749697409828,0.00675310642895732,0.011801730920535013,0.007142857142857143,0.006539664486778504,0.010225563909774436,0.011265935369107619,0.005724615848147032,0.008837209302325582
SelectFromModel,40668,5,0.0011135318324860808,0.0018008283810552854,0.0011801730920535012,0.0002304147465437788,0.0014216661927779358,0.0003007518796992481,,0.0015064778547755348,0.002325581395348837
SelectFwe,40668,5,0.0012103606874848704,0.0012605798667386999,0.0003933910306845004,0.0004608294930875576,0.0025589991470002845,0.009022556390977444,0.0029647198339756895,0.007532389273877674,
total_operators,40668,5,20655.0,11106.0,5084.0,4340.0,3517.0,3325.0,3373.0,3319.0,2150.0
total_pipelines,40668,5,9048.0,5223.0,2678.0,2409.0,2013.0,1909.0,1916.0,1918.0,1308.0
