,dataset,max_time_mins,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,23512,5,0.05620950323974082,0.030043859649122807,0.02975158867706528,0.05125925925925926,0.04296296296296296,0.0423728813559322,0.041033434650455926,0.05113160100586756,0.0338389731621937
RandomForestClassifier,23512,5,0.07975161987041036,0.13826754385964912,0.13287117273252455,0.10014814814814815,0.06962962962962962,0.046171829339567504,0.051367781155015196,0.052388935456831515,0.07234539089848308
MinMaxScaler,23512,5,0.019546436285097193,0.0231359649122807,0.02050837666088966,0.017185185185185185,0.016888888888888887,0.016656925774400935,0.025227963525835867,0.019279128248113998,0.019836639439906652
XGBClassifier,23512,5,0.052375809935205186,0.20986842105263157,0.10803004043905257,0.0962962962962963,0.09688888888888889,0.09906487434248977,0.09848024316109423,0.07208717518860017,0.09218203033838973
KNeighborsClassifier,23512,5,0.031371490280777535,0.02225877192982456,0.039283651068746386,0.04385185185185185,0.053925925925925926,0.05756867329047341,0.03860182370820669,0.05113160100586756,0.06301050175029171
ExtraTreesClassifier,23512,5,0.06528077753779697,0.0581140350877193,0.1097631426920855,0.15407407407407409,0.13837037037037037,0.09322033898305085,0.1115501519756839,0.07208717518860017,0.07584597432905485
BernoulliNB,23512,5,0.032721382289416845,0.04473684210526316,0.06528018486424032,0.056,0.06933333333333333,0.0727644652250146,0.06869300911854104,0.11190276613579211,0.08751458576429405
SGDClassifier,23512,5,0.06630669546436285,0.04506578947368421,0.055170421721548235,0.053037037037037035,0.037333333333333336,0.06282875511396845,0.05805471124620061,0.067476948868399,0.08518086347724621
MLPClassifier,23512,5,0.03839092872570194,0.02412280701754386,0.042172154823801274,0.05274074074074074,0.058666666666666666,0.05786090005844535,0.058662613981762916,0.052388935456831515,0.058343057176196034
OneHotEncoder,23512,5,0.017278617710583154,0.022149122807017543,0.021663778162911613,0.02162962962962963,0.02548148148148148,0.02250146113383986,0.026747720364741642,0.022632020117351215,0.015169194865810968
GradientBoostingClassifier,23512,5,0.15032397408207343,0.07138157894736842,0.09965337954939342,0.06222222222222222,0.07525925925925926,0.08591466978375219,0.07386018237082066,0.07041072925398156,0.08401400233372229
DecisionTreeClassifier,23512,5,0.05529157667386609,0.030153508771929825,0.06239168110918544,0.06074074074074074,0.08237037037037037,0.08591466978375219,0.1088145896656535,0.09932942162615256,0.07234539089848308
Binarizer,23512,5,0.015928725701943845,0.009978070175438596,0.008665511265164644,0.006518518518518518,0.008592592592592593,0.011689070718877849,0.011854103343465046,0.01550712489522213,0.005834305717619603
LogisticRegression,23512,5,0.015496760259179265,0.01699561403508772,0.012709416522241479,0.024592592592592593,0.01748148148148148,0.014611338398597311,0.024620060790273558,0.020536462699077954,0.030338389731621937
MaxAbsScaler,23512,5,0.016900647948164146,0.023464912280701754,0.02339688041594454,0.009481481481481481,0.016296296296296295,0.017241379310344827,0.012462006079027355,0.012154233025984913,0.012835472578763127
SelectPercentile,23512,5,0.0265658747300216,0.013486842105263158,0.016753321779318313,0.011259259259259259,0.007703703703703704,0.014903565166569257,0.013069908814589666,0.018860016764459347,0.014002333722287048
RobustScaler,23512,5,0.018196544276457883,0.016008771929824563,0.01559792027729636,0.007703703703703704,0.016,0.01694915254237288,0.01033434650455927,0.012992455993294216,0.010501750291715286
PCA,23512,5,0.007721382289416847,0.008552631578947369,0.013575967648757943,0.010074074074074074,0.009777777777777778,0.012273524254821741,0.01884498480243161,0.012573344509639563,0.010501750291715286
ZeroCount,23512,5,0.01652267818574514,0.02817982456140351,0.010687463893703062,0.017777777777777778,0.015703703703703702,0.01636469900642899,0.012462006079027355,0.013830678960603521,0.019836639439906652
LinearSVC,23512,5,0.022570194384449245,0.03168859649122807,0.02339688041594454,0.02548148148148148,0.02874074074074074,0.046171829339567504,0.03252279635258359,0.04233025984911987,0.024504084014002333
FastICA,23512,5,0.023326133909287255,0.009758771929824562,0.012131715771230503,0.014222222222222223,0.012148148148148148,0.012565751022793687,0.008814589665653495,0.01802179379715004,0.004667444574095682
RFE,23512,5,0.016090712742980563,0.028618421052631578,0.016464471403812825,0.01925925925925926,0.016592592592592593,0.016656925774400935,0.013373860182370821,0.010058675607711651,0.015169194865810968
Nystroem,23512,5,0.007181425485961123,0.00668859649122807,0.004332755632582322,0.005925925925925926,0.008,0.0067212156633547635,0.007598784194528876,0.010058675607711651,0.014002333722287048
RBFSampler,23512,5,0.02705183585313175,0.008552631578947369,0.00779896013864818,0.010074074074074074,0.01037037037037037,0.011689070718877849,0.01398176291793313,0.009220452640402346,0.01633605600933489
FeatureAgglomeration,23512,5,0.011177105831533477,0.006578947368421052,0.006065857885615251,0.005925925925925926,0.007407407407407408,0.004675628287551139,0.0060790273556231,0.003352891869237217,0.003500583430571762
MultinomialNB,23512,5,0.0022678185745140388,0.00010964912280701755,0.0014442518775274408,0.0017777777777777779,0.0014814814814814814,0.0023378141437755697,0.00030395136778115504,0.003352891869237217,0.003500583430571762
StandardScaler,23512,5,0.02365010799136069,0.023026315789473683,0.007510109763142692,0.01925925925925926,0.011851851851851851,0.013150204558737581,0.016109422492401215,0.01173512154233026,0.014002333722287048
Normalizer,23512,5,0.025593952483801297,0.010416666666666666,0.01242056614673599,0.017185185185185185,0.017777777777777778,0.015488018702513151,0.015197568389057751,0.009639564124056999,0.015169194865810968
PolynomialFeatures,23512,5,0.020680345572354212,0.012719298245614035,0.008376660889659156,0.010074074074074074,0.011851851851851851,0.0070134424313267095,0.0060790273556231,0.01173512154233026,0.010501750291715286
CombineDFs,23512,5,0.013606911447084234,0.00625,0.0025996533795493936,0.002074074074074074,0.002962962962962963,0.0023378141437755697,0.0033434650455927053,0.0016764459346186086,
SelectFwe,23512,5,0.0009719222462203023,0.0031798245614035087,0.0005777007510109763,0.0017777777777777779,0.0002962962962962963,0.0005844535359438924,0.00182370820668693,0.004610226320201173,
VarianceThreshold,23512,5,0.02046436285097192,0.015350877192982455,0.007221259387637204,0.01037037037037037,0.010074074074074074,0.013734658094681473,0.009726443768996961,0.014249790444258172,0.014002333722287048
SelectFromModel,23512,5,0.003185745140388769,0.0010964912280701754,0.0017331022530329288,,0.0017777777777777779,,0.00030395136778115504,0.0012573344509639564,0.0011668611435239206
total_operators,23512,5,18520.0,9120.0,3462.0,3375.0,3375.0,3422.0,3290.0,2386.0,857.0
total_pipelines,23512,5,8459.0,4589.0,2009.0,1942.0,1914.0,1931.0,1911.0,1427.0,563.0
