,dataset,max_time_mins,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,1503,5,0.0730433035265749,0.033697632058287796,0.07010107597000326,0.05209471766848816,0.041792852816474865,0.04769560557341908,0.03803131991051454,0.046,0.04181600955794504
RandomForestClassifier,1503,5,0.04310258213603939,0.0734669095324833,0.057711118356700356,0.06775956284153005,0.06904906117504543,0.04769560557341908,0.053691275167785234,0.07733333333333334,0.06332138590203107
MinMaxScaler,1503,5,0.014367527378679796,0.018518518518518517,0.018258884903814804,0.017486338797814208,0.018170805572380374,0.011254019292604502,0.01715137956748695,0.015333333333333332,0.016726403823178016
XGBClassifier,1503,5,0.05375263739576007,0.08287795992714025,0.053146397130746655,0.06411657559198543,0.08176862507571168,0.05627009646302251,0.06935123042505593,0.096,0.07765830346475508
KNeighborsClassifier,1503,5,0.051542248568270874,0.11930783242258652,0.07923051842191066,0.09180327868852459,0.07874015748031496,0.07020364415862808,0.06785980611483967,0.07866666666666666,0.08721624850657109
ExtraTreesClassifier,1503,5,0.04762383201044911,0.08955676988463873,0.11216172155200521,0.10746812386156648,0.09569957601453664,0.10128617363344052,0.1029082774049217,0.08133333333333333,0.0967741935483871
BernoulliNB,1503,5,0.07585652567065207,0.05555555555555555,0.0749918487120965,0.07140255009107468,0.08419139915202907,0.08360128617363344,0.08202833706189411,0.06733333333333333,0.08960573476702509
SGDClassifier,1503,5,0.056666331759268565,0.039162112932604735,0.06521030322791001,0.07431693989071038,0.0726832222895215,0.08628081457663452,0.08575689783743475,0.07266666666666667,0.07407407407407407
GradientBoostingClassifier,1503,5,0.05777152617301316,0.10777170613236187,0.06423214867949135,0.04517304189435337,0.06117504542701393,0.0782422293676313,0.07233407904548844,0.068,0.0908004778972521
DecisionTreeClassifier,1503,5,0.04913091530191902,0.05525197328476017,0.05053798500163026,0.058287795992714025,0.07450030284675954,0.09431939978563773,0.07158836689038031,0.08733333333333333,0.08004778972520908
MLPClassifier,1503,5,0.06369938711946146,0.050698239222829386,0.057711118356700356,0.04954462659380692,0.07813446396123562,0.0632368703108253,0.0633855331841909,0.068,0.06212664277180406
FastICA,1503,5,0.015372249572993067,0.013054037644201578,0.014346266710140202,0.014571948998178506,0.01150817686250757,0.010182207931404072,0.014914243102162566,0.006666666666666667,0.009557945041816009
LogisticRegression,1503,5,0.05767105395358183,0.023679417122040074,0.01728073035539615,0.025865209471766848,0.018170805572380374,0.013933547695605574,0.03131991051454139,0.021333333333333333,0.021505376344086023
PCA,1503,5,0.015372249572993067,0.01366120218579235,0.029670687968699056,0.018579234972677595,0.014536644457904301,0.011789924973204717,0.024608501118568233,0.014,0.009557945041816009
Normalizer,1503,5,0.015070832914699085,0.013964784456587736,0.016302575806977502,0.020036429872495445,0.008479709267110842,0.014469453376205787,0.011931394481730051,0.013333333333333334,0.011947431302270013
FeatureAgglomeration,1503,5,0.01235808299005325,0.00273224043715847,0.008477339419628301,0.010200364298724954,0.0060569351907934586,0.010718113612004287,0.006711409395973154,0.010666666666666666,0.009557945041816009
LinearSVC,1503,5,0.052145081884858835,0.041287188828172436,0.028692533420280403,0.04626593806921676,0.03331314354936402,0.03590568060021436,0.03355704697986577,0.02266666666666667,0.02986857825567503
StandardScaler,1503,5,0.017582638400482267,0.008500303582270795,0.013694163677861103,0.01238615664845173,0.01029678982434888,0.015541264737406217,0.008948545861297539,0.010666666666666666,0.010752688172043012
RobustScaler,1503,5,0.031347332462574096,0.011839708561020037,0.011737854581023801,0.012750455373406194,0.009085402786190187,0.00964630225080386,0.011185682326621925,0.01,0.007168458781362007
VarianceThreshold,1503,5,0.030041193609966845,0.014571948998178506,0.019889142484512554,0.012750455373406194,0.014536644457904301,0.021436227224008574,0.01640566741237882,0.014,0.011947431302270013
OneHotEncoder,1503,5,0.017683110619913595,0.022465088038858532,0.019889142484512554,0.019307832422586522,0.010902483343428226,0.01607717041800643,0.01640566741237882,0.020666666666666667,0.013142174432497013
RBFSampler,1503,5,0.012960916306641214,0.012446873102610808,0.014346266710140202,0.013114754098360656,0.01756511205330103,0.01232583065380493,0.011931394481730051,0.014,0.005973715651135006
PolynomialFeatures,1503,5,0.012458555209484577,0.011232544019429266,0.015976524290837953,0.013843351548269581,0.009085402786190187,0.016613076098606645,0.008948545861297539,0.011333333333333334,0.013142174432497013
Binarizer,1503,5,0.044207776549783986,0.00819672131147541,0.010433648516465601,0.01238615664845173,0.015748031496062992,0.008038585209003215,0.014168530947054437,0.010666666666666666,0.008363201911589008
SelectPercentile,1503,5,0.011855721892896614,0.012750455373406194,0.008151287903488751,0.025500910746812388,0.015748031496062992,0.011789924973204717,0.00820283370618941,0.008,0.007168458781362007
RFE,1503,5,0.011755249673465288,0.012446873102610808,0.012389957613302902,0.011293260473588343,0.018170805572380374,0.018756698821007504,0.011931394481730051,0.012,0.016726403823178016
MaxAbsScaler,1503,5,0.009745805284838743,0.016089860352155434,0.022497554613628953,0.012750455373406194,0.01150817686250757,0.011254019292604502,0.011185682326621925,0.01,0.005973715651135006
ZeroCount,1503,5,0.016879332864462977,0.018518518518518517,0.016954678839256603,0.008378870673952642,0.010902483343428226,0.015541264737406217,0.017897091722595078,0.018,0.023894862604540025
Nystroem,1503,5,0.008037777554506178,0.007893139040680024,0.013042060645582002,0.00546448087431694,0.0060569351907934586,0.004287245444801715,0.007457121551081283,0.010666666666666666,0.0035842293906810036
