,dataset,max_time_mins,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,41168,5,0.04222955004786725,0.05176715176715177,0.041592394533571005,0.04161490683229813,0.04010815682739973,0.03515625,0.03639940973930152,0.05885311871227364,0.036328871892925434
RandomForestClassifier,41168,5,0.035421763642165725,0.12286902286902288,0.10338680926916222,0.07018633540372671,0.06354213609734115,0.06178977272727273,0.08657156910969012,0.05583501006036217,0.07743785850860421
MinMaxScaler,41168,5,0.008935219657483246,0.02079002079002079,0.024955436720142603,0.037888198757763975,0.024785939612438034,0.03586647727272727,0.026561731431382195,0.023138832997987926,0.0248565965583174
XGBClassifier,41168,5,0.0635038825656845,0.12182952182952184,0.15300059417706477,0.09751552795031056,0.07390716538981523,0.06143465909090909,0.07575012297097884,0.08702213279678069,0.10994263862332695
KNeighborsClassifier,41168,5,0.012232741197744921,0.024532224532224534,0.029411764705882353,0.04720496894409938,0.05993690851735016,0.07208806818181818,0.06246925725528775,0.05734406438631791,0.055449330783938815
LinearSVC,41168,5,0.04137857674715456,0.031185031185031187,0.0213903743315508,0.03850931677018633,0.03470031545741325,0.03409090909090909,0.037383177570093455,0.03822937625754527,0.03824091778202677
SelectFwe,41168,5,0.008509733007126902,0.010602910602910603,0.0011883541295306002,0.012422360248447204,,0.013849431818181818,0.01721593703885883,0.004527162977867203,0.01338432122370937
MultinomialNB,41168,5,0.0025529199021380703,0.005613305613305614,0.0053475935828877,0.008074534161490683,0.012618296529968454,0.015625,0.013280865715691098,0.01056338028169014,0.0124282982791587
Nystroem,41168,5,0.0065950430805233485,0.00997920997920998,0.00861556743909685,0.009627329192546583,0.00946372239747634,0.009588068181818182,0.009345794392523364,0.01056338028169014,0.014340344168260038
ExtraTreesClassifier,41168,5,0.04903733645356877,0.13097713097713098,0.12418300653594772,0.12795031055900621,0.12573231185218567,0.10049715909090909,0.1057550418101328,0.08350100603621731,0.07170172084130019
BernoulliNB,41168,5,0.06690777576853527,0.04095634095634096,0.049910873440285206,0.0593167701863354,0.05858494817485354,0.06143465909090909,0.06591244466305952,0.06690140845070422,0.08795411089866156
