,dataset,max_time_mins,sampling_ratio0.0001,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,42468,5,0.06839722733059839,0.04711133151500124,0.052662721893491124,0.05507246376811594,0.05603448275862069,0.05751258087706686,0.04467805519053877,0.05174035747883349,0.05088757396449704,0.04734411085450346
RandomForestClassifier,42468,5,0.08692884424954024,0.1948921398462683,0.07869822485207101,0.05181159420289855,0.06303879310344827,0.07907979870596693,0.0735873850197109,0.06773283160865474,0.07100591715976332,0.06004618937644342
MinMaxScaler,42468,5,0.017824303296081482,0.021819985122737418,0.02514792899408284,0.021739130434782608,0.018857758620689655,0.014378145219266714,0.01576872536136662,0.017873941674506115,0.01893491124260355,0.020785219399538105
XGBClassifier,42468,5,0.07228745225633046,0.09075130176047608,0.13224852071005916,0.06195652173913044,0.07112068965517242,0.07692307692307693,0.07752956636005257,0.10253998118532455,0.11834319526627218,0.08660508083140878
KNeighborsClassifier,42468,5,0.11210920922336964,0.04909496652615919,0.05502958579881657,0.08876811594202899,0.06196120689655173,0.07117181883537024,0.08935611038107753,0.05644402634054563,0.07100591715976332,0.06004618937644342
LinearSVC,42468,5,0.022492573206959965,0.012397718819737169,0.026331360946745562,0.03297101449275362,0.04310344827586207,0.04888569374550683,0.03810775295663601,0.03857008466603951,0.027218934911242602,0.023094688221709007
SelectFwe,42468,5,0.021290140048097327,0.016364988842053063,0.021597633136094675,0.01847826086956522,0.014008620689655173,0.018691588785046728,0.020367936925098553,0.01317027281279398,0.021301775147928994,0.012702078521939953
ExtraTreesClassifier,42468,5,0.07299476587919083,0.06099677659310687,0.09171597633136094,0.09492753623188406,0.07219827586206896,0.07476635514018691,0.08147174770039421,0.06961429915333961,0.06745562130177515,0.09468822170900693
BernoulliNB,42468,5,0.032465695289291274,0.02851475328539549,0.0378698224852071,0.05398550724637681,0.0738146551724138,0.07764198418404025,0.06964520367936924,0.07808090310442145,0.07928994082840236,0.07274826789838337
SGDClassifier,42468,5,0.03189984439100297,0.05653359781800149,0.04319526627218935,0.07028985507246377,0.08135775862068965,0.0704529115744069,0.07227332457293036,0.07431796801505174,0.08047337278106509,0.08083140877598152
LogisticRegression,42468,5,0.02447305135096902,0.019588395735184727,0.010059171597633136,0.02608695652173913,0.02209051724137931,0.03450754852624011,0.01971090670170828,0.01599247412982126,0.015384615384615385,0.02424942263279446
OneHotEncoder,42468,5,0.025816947234403736,0.02578725514505331,0.03343195266272189,0.02463768115942029,0.028556034482758622,0.03306973400431344,0.02759526938239159,0.03857008466603951,0.029585798816568046,0.03117782909930716
FeatureAgglomeration,42468,5,0.006153628518885274,0.007438631291842301,0.005621301775147929,0.014130434782608696,0.008620689655172414,0.008626887131560028,0.010512483574244415,0.00940733772342427,0.01301775147928994,0.010392609699769052
PCA,42468,5,0.016834064224076954,0.01686089759484255,0.020118343195266272,0.016304347826086956,0.013469827586206896,0.019410496046010063,0.00985545335085414,0.012229539040451553,0.015384615384615385,0.010392609699769052
DecisionTreeClassifier,42468,5,0.08961663601640968,0.07835358294073891,0.10177514792899409,0.10760869565217392,0.08728448275862069,0.06685837526959022,0.06898817345597898,0.07431796801505174,0.06745562130177515,0.06697459584295612
