,dataset,max_time_mins,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,1483,5,0.05371900826446281,0.04185623293903549,0.05685218432076601,0.05462872096826955,0.06007628734901462,0.05155038759689923,0.053316540722082285,0.04610226320201174
RandomForestClassifier,1483,5,0.12140889413616686,0.10342735820442826,0.090065828845003,0.06509649983644096,0.08041958041958042,0.05232558139534884,0.042821158690176324,0.07627829002514669
MinMaxScaler,1483,5,0.01948051948051948,0.015771913861085837,0.017953321364452424,0.01602878639188747,0.019707565162110616,0.016666666666666666,0.015113350125944584,0.01592623637887678
XGBClassifier,1483,5,0.11452184179456906,0.14316044889293297,0.08378216636744465,0.06411514556754988,0.05308328035600763,0.06395348837209303,0.05793450881612091,0.06873428331936295
MultinomialNB,1483,5,0.03010625737898465,0.055201698513800426,0.041891083183722325,0.05135754007196598,0.05371900826446281,0.05271317829457364,0.06801007556675064,0.08298407376362113
KNeighborsClassifier,1483,5,0.05371900826446281,0.06248104337276312,0.09096349491322561,0.08341511285574092,0.080737444373808,0.09263565891472868,0.07472712006717044,0.07879295892707461
LinearSVC,1483,5,0.012987012987012988,0.027904155292690323,0.026331538001196888,0.026823683349689237,0.026382708200890018,0.03875968992248062,0.03232577665827036,0.037720033528918694
SelectFwe,1483,5,0.004722550177095631,,0.0002992220227408737,0.004906771344455349,0.0009535918626827717,0.003875968992248062,0.0008396305625524769,
ExtraTreesClassifier,1483,5,0.08107044470680834,0.09311495298756445,0.10442848593656492,0.11547268563951586,0.10870947234583599,0.09069767441860466,0.06968933669185558,0.07041072925398156
BernoulliNB,1483,5,0.06178669815033452,0.048528965726417954,0.0409934171154997,0.05233889434085705,0.05308328035600763,0.06201550387596899,0.06087321578505458,0.07208717518860017
SGDClassifier,1483,5,0.04151908697363243,0.05034880194115863,0.03770197486535009,0.06673209028459273,0.06897647806738716,0.06511627906976744,0.0743073047858942,0.0586756077116513
RobustScaler,1483,5,0.016922471467926012,0.011222323324234153,0.012567324955116697,0.020608439646712464,0.02542911633820725,0.015503875968992248,0.021410579345088162,0.008382229673093043
