,dataset,max_time_mins,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
MLPClassifier,1483,5,0.0375836284927194,0.043979375189566274,0.04039497307001795,0.04808635917566242,0.04577240940877304,0.03837209302325582,0.05751469353484467,0.07711651299245599
DecisionTreeClassifier,1483,5,0.09051554506099961,0.056414922656960874,0.0774985038898863,0.08995747464834805,0.06897647806738716,0.09108527131782945,0.10327455919395466,0.06538139145012574
SelectPercentile,1483,5,0.01042896497441952,0.014558689717925387,0.01376421304608019,0.007196597971867844,0.01652892561983471,0.009302325581395349,0.008816120906801008,0.0075440067057837385
Nystroem,1483,5,0.008658008658008658,0.010312405216863815,0.011669658886894075,0.01602878639188747,0.008900190718372537,0.012403100775193798,0.009655751469353484,0.0075440067057837385
GradientBoostingClassifier,1483,5,0.06985438803620622,0.044585987261146494,0.044584081388390186,0.03925417075564279,0.034329307056579786,0.05,0.04869857262804366,0.06035205364626991
ZeroCount,1483,5,0.010822510822510822,0.014558689717925387,0.02423698384201077,0.013084723585214262,0.008582326764144946,0.012015503875968992,0.02644836272040302,0.009220452640402346
OneHotEncoder,1483,5,0.00905155450609996,0.017591750075826508,0.020347097546379412,0.012430487405953549,0.024475524475524476,0.02054263565891473,0.016792611251049538,0.010896898575020955
LogisticRegression,1483,5,0.012593467138921684,0.014255383682135275,0.01765409934171155,0.018972849198560682,0.02225047679593134,0.028294573643410852,0.019731318219983206,0.010058675607711651
PCA,1483,5,0.01357733175914994,0.015165301789505611,0.019150209455415918,0.011776251226692836,0.016846789574062302,0.017829457364341085,0.019311502938706968,0.009220452640402346
Binarizer,1483,5,0.008067689885871704,0.009705793145283591,0.00807899461400359,0.009486424599280341,0.006357279084551812,0.008914728682170543,0.014273719563392108,0.009220452640402346
FastICA,1483,5,0.011412829594647777,0.0124355474673946,0.010173548773189706,0.01046777886817141,0.015575333757151939,0.01434108527131783,0.011335012594458438,0.014249790444258172
VarianceThreshold,1483,5,0.011412829594647777,0.016985138004246284,0.01615798922800718,0.014393195943735688,0.014303877940241577,0.010465116279069767,0.010075566750629723,0.010058675607711651
RFE,1483,5,0.02085792994883904,0.011222323324234153,0.013464991023339317,0.011776251226692836,0.007310870947234584,0.010852713178294573,0.0109151973131822,0.015088013411567477
FeatureAgglomeration,1483,5,0.007870916961826053,0.004549590536851683,0.0038898862956313583,0.004906771344455349,0.004450095359186269,0.006589147286821705,0.005877413937867338,0.010058675607711651
PolynomialFeatures,1483,5,0.017119244391971666,0.009099181073703366,0.011370436864153202,0.00850507033038927,0.008900190718372537,0.01124031007751938,0.012174643157010915,0.012573344509639563
Normalizer,1483,5,0.01357733175914994,0.01364877161055505,0.01765409934171155,0.013411841674844618,0.01652892561983471,0.014728682170542635,0.01343408900083963,0.02347024308466052
MaxAbsScaler,1483,5,0.008461235733963006,0.011525629360024265,0.017953321364452424,0.01602878639188747,0.01621106166560712,0.012403100775193798,0.011754827875734676,0.010058675607711651
RBFSampler,1483,5,0.007870916961826053,0.005762814680012132,0.008976660682226212,0.01046777886817141,0.010171646535282899,0.008527131782945736,0.010495382031905962,0.008382229673093043
CombineDFs,1483,5,0.0029515938606847697,0.003639672429481347,0.003590664272890485,0.0016355904481517827,0.00572155117609663,0.0027131782945736434,0.002938706968933669,0.0016764459346186086
StandardScaler,1483,5,0.0149547422274695,0.015468607825295723,0.01286654697785757,0.013738959764474975,0.015257469802924348,0.012790697674418604,0.014273719563392108,0.0075440067057837385
SelectFromModel,1483,5,0.0003935458480913026,0.001516530178950561,0.0026929982046678637,0.0068694798822374874,0.0012714558169103624,0.0007751937984496124,0.0008396305625524769,0.004191114836546521
total_operators,1483,5,5082.0,3297.0,3342.0,3057.0,3146.0,2580.0,2382.0,1193.0
total_pipelines,1483,5,2690.0,1929.0,1911.0,1813.0,1805.0,1531.0,1425.0,756.0
