,dataset,max_time_mins,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,1596,5,0.05211391661773341,0.048013718205201485,0.058143488609316556,0.06358381502890173,0.06513693560325684,0.07272727272727272,0.0632295719844358,0.059154929577464786,0.06160458452722063
RandomForestClassifier,1596,5,0.07677627715795654,0.1034581308945413,0.056783407004420264,0.06778770362585392,0.076980014803849,0.06446280991735537,0.08463035019455253,0.07746478873239436,0.08595988538681948
MinMaxScaler,1596,5,0.016588373458602465,0.02600743069448414,0.014960897653859231,0.015239096163951655,0.025166543301258327,0.023140495867768594,0.0311284046692607,0.028169014084507043,0.027220630372492838
XGBClassifier,1596,5,0.07839107457428068,0.073735352957988,0.046242774566473986,0.0788229111928534,0.08734270910436713,0.07024793388429752,0.07198443579766536,0.06338028169014084,0.07449856733524356
KNeighborsClassifier,1596,5,0.02906635349383441,0.05258645327236353,0.07242434546072764,0.06621124540199684,0.05773501110288675,0.05371900826446281,0.06906614785992218,0.0647887323943662,0.06017191977077364
LinearSVC,1596,5,0.02701115678214915,0.03286653329522721,0.035022101326079566,0.02995270625328429,0.047372316802368614,0.05371900826446281,0.03988326848249027,0.02676056338028169,0.03581661891117478
SelectFwe,1596,5,0.011743981209630064,0.01629036867676479,0.021421285277116626,0.01418812401471361,0.013323464100666173,0.012396694214876033,0.017509727626459144,0.018309859154929577,0.02005730659025788
ExtraTreesClassifier,1596,5,0.11215502055196712,0.10745927407830809,0.10302618157089426,0.08197582764056753,0.07401924500370097,0.08181818181818182,0.06031128404669261,0.07464788732394366,0.08882521489971347
BernoulliNB,1596,5,0.1043746330005872,0.07287796513289511,0.10438626317579054,0.06568575932737783,0.06809770540340489,0.08099173553719008,0.07295719844357977,0.07464788732394366,0.06017191977077364
SGDClassifier,1596,5,0.04756312389900176,0.06316090311517576,0.08772526351581095,0.09931686810299527,0.0917838638045892,0.09752066115702479,0.11381322957198443,0.11267605633802817,0.10458452722063037
GradientBoostingClassifier,1596,5,0.05152671755725191,0.06287510717347813,0.04012240734444067,0.0767209668943773,0.05699481865284974,0.07768595041322314,0.07490272373540856,0.07746478873239436,0.07163323782234957
DecisionTreeClassifier,1596,5,0.09718144450968878,0.07430694484138325,0.07854471268276096,0.07619548081975827,0.05181347150259067,0.05537190082644628,0.06614785992217899,0.0676056338028169,0.07736389684813753
MLPClassifier,1596,5,0.03992953611274222,0.04772792226350386,0.06120367222033322,0.04939569101418812,0.06587712805329386,0.05867768595041322,0.06031128404669261,0.07464788732394366,0.05300859598853868
ZeroCount,1596,5,0.015854374633000587,0.015147184909974278,0.0217613056783407,0.011035207566999475,0.013323464100666173,0.011570247933884297,0.008754863813229572,0.01267605633802817,0.015759312320916905
