,dataset,max_time_mins,sampling_ratio0.0001,sampling_ratio0.001,sampling_ratio0.01,sampling_ratio0.05,sampling_ratio0.1,sampling_ratio0.15,sampling_ratio0.2,sampling_ratio0.3,sampling_ratio0.5,sampling_ratio1.0
GaussianNB,41138,5,0.0558858501783591,0.029936543486375512,0.10856779526307424,0.06001714775650186,0.045025188916876575,0.03566529492455418,0.06392870980240217,0.06744556558682953,0.060941828254847646,0.03796561604584527
RandomForestClassifier,41138,5,0.1070154577883472,0.13310936916759986,0.06294706723891273,0.09145470134324092,0.06013853904282116,0.06630086877000457,0.05075552111584657,0.05894848645778014,0.051444400474871387,0.055873925501432664
MinMaxScaler,41138,5,0.011890606420927468,0.01022769690182904,0.015259895088221268,0.016861960560160046,0.020151133501259445,0.010973936899862825,0.01239829523440527,0.014338821030270845,0.01662049861495845,0.010744985673352435
XGBClassifier,41138,5,0.07253269916765755,0.08936170212765958,0.050548402479732954,0.07545012860817377,0.08753148614609572,0.10105166895290352,0.0833010461061604,0.06903876792352628,0.07202216066481995,0.09527220630372493
KNeighborsClassifier,41138,5,0.07491082045184304,0.04665920119447555,0.038308694961055476,0.049156901971992,0.047544080604534,0.04252400548696845,0.05114296784192174,0.04992033988316516,0.04788286505738029,0.07306590257879657
MultinomialNB,41138,5,0.04399524375743163,0.02627846211272863,0.045779685264663805,0.040297227779365535,0.039987405541561716,0.0361225422953818,0.06199147617202635,0.043016463090812536,0.05896319746735259,0.0651862464183381
Nystroem,41138,5,0.014268727705112961,0.009182530795072788,0.005881417898585281,0.005144326950557302,0.004408060453400504,0.010059442158207591,0.00581170089112747,0.016994158258098777,0.008705975464978234,0.012177650429799427
DecisionTreeClassifier,41138,5,0.11058263971462545,0.10548712206047033,0.06644412652996344,0.0625893112317805,0.08816120906801007,0.10196616369455876,0.07283998450213096,0.0647902283590016,0.0854768500197863,0.04871060171919771
MaxAbsScaler,41138,5,0.0178359096313912,0.014557670772676373,0.015418852328723573,0.014289797084881395,0.013853904282115869,0.023319615912208505,0.006974041069352964,0.009559214020180564,0.013454689354966362,0.017191977077363897
BernoulliNB,41138,5,0.07491082045184304,0.05375139977603583,0.047846129391193766,0.05115747356387539,0.05573047858942066,0.05258344764517604,0.06664083688492832,0.06001062134891131,0.08112386228729719,0.0651862464183381
ExtraTreesClassifier,41138,5,0.1367419738406659,0.0851063829787234,0.08090923541567319,0.09888539582737925,0.10516372795969774,0.0772748056698674,0.10034870205346764,0.07488050982474774,0.06846062524732885,0.09240687679083094
LogisticRegression,41138,5,0.007134363852556481,0.0028368794326241137,0.017167381974248927,0.012860817376393255,0.01700251889168766,0.03155006858710562,0.0263463773731112,0.013807753584705257,0.02295211713494262,0.02148997134670487
OneHotEncoder,41138,5,0.02497027348394768,0.03546099290780142,0.02050548402479733,0.018290940268648186,0.02172544080604534,0.03246456332876086,0.01820999612553274,0.026553372278279343,0.012663237039968342,0.013610315186246419
MLPClassifier,41138,5,0.09036860879904875,0.04785367674505413,0.05627086313781593,0.06344669905687339,0.06360201511335013,0.0411522633744856,0.06160402944595118,0.06797663303239511,0.05302730510486743,0.07234957020057306
Binarizer,41138,5,0.011890606420927468,0.016648002986188876,0.009537434430138292,0.009717062017719349,0.009130982367758186,0.007315957933241884,0.011235955056179775,0.007966011683483803,0.01226751088246933,0.010744985673352435
PolynomialFeatures,41138,5,0.015457788347205707,0.01276595744680851,0.011285964075663646,0.01371820520148614,0.012594458438287154,0.01417466849565615,0.0131731886865556,0.012214551248008496,0.009497427779976256,0.012893982808022923
RobustScaler,41138,5,0.0178359096313912,0.008062709966405375,0.008583690987124463,0.008573878250928837,0.012909319899244332,0.013260173754000914,0.012010848508330105,0.01009028146574615,0.00593589236248516,0.010744985673352435
VarianceThreshold,41138,5,0.015457788347205707,0.029787234042553193,0.01239866475917978,0.014289797084881395,0.009445843828715366,0.010973936899862825,0.009298721425803952,0.01486988847583643,0.019390581717451522,0.01002865329512894
Normalizer,41138,5,0.0178359096313912,0.01089958939902949,0.010809092354156731,0.010288653901114605,0.014168765743073047,0.011431184270690443,0.01084850833010461,0.022835900159320233,0.015433320142461416,0.010744985673352435
RBFSampler,41138,5,0.009512485136741973,0.009555804404628592,0.008901605468129074,0.009717062017719349,0.011649874055415618,0.010973936899862825,0.011235955056179775,0.01009028146574615,0.007518796992481203,0.011461318051575931
SelectPercentile,41138,5,0.008323424494649227,0.014483016050765211,0.02114131298680655,0.014575593026579023,0.010075566750629723,0.013260173754000914,0.01743510267338241,0.016994158258098777,0.015433320142461416,0.0064469914040114614
StandardScaler,41138,5,0.011890606420927468,0.009705113848450915,0.01271657924018439,0.00800228636753358,0.015743073047858942,0.00823045267489712,0.01239829523440527,0.012745618693574084,0.009497427779976256,0.007879656160458453
ZeroCount,41138,5,0.016646848989298454,0.012094064949608062,0.010968049594659036,0.012575021434695627,0.009445843828715366,0.013260173754000914,0.010073614877954282,0.008497079129049389,0.013058963197467353,0.009312320916905445
FastICA,41138,5,0.005945303210463734,0.01104889884285181,0.009855348911142902,0.010860245784509859,0.012594458438287154,0.007773205304069501,0.009686168151879117,0.015932023366967606,0.008705975464978234,0.01002865329512894
RFE,41138,5,0.011890606420927468,0.015677491601343786,0.023684628834843426,0.021434695627322094,0.009130982367758186,0.015546410608139003,0.009298721425803952,0.008497079129049389,0.013058963197467353,0.009312320916905445
PCA,41138,5,0.0047562425683709865,0.008585293019783502,0.007788904784612939,0.009145470134324093,0.01102015113350126,0.010973936899862825,0.010073614877954282,0.01009028146574615,0.013454689354966362,0.008595988538681949
FeatureAgglomeration,41138,5,0.007134363852556481,0.009107876073161627,0.0034970592910507073,0.002572163475278651,0.004093198992443325,0.002286236854138089,0.0038744672607516468,0.002124269782262347,0.015829046299960427,0.0057306590257879654
CombineDFs,41138,5,0.0011890606420927466,0.008286674132138858,0.00619933237958989,0.004858531008859674,0.0015743073047858943,0.0004572473708276177,0.0038744672607516468,0.0010621348911311736,0.004748713889988128,0.0014326647564469914
GradientBoostingClassifier,41138,5,0.0011890606420927466,0.023516237402015677,0.06278810999841043,0.05258645327236353,0.06454659949622166,0.05258344764517604,0.05346764819837272,0.06266595857673925,0.04867431737237832,0.0673352435530086
total_operators,41138,5,841.0,13395.0,6291.0,3499.0,3176.0,2187.0,2581.0,1883.0,2527.0,1396.0
total_pipelines,41138,5,559.0,8234.0,3179.0,2002.0,1817.0,1252.0,1530.0,1137.0,1513.0,865.0
